"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Active Directory Authentication Library for SQL Server";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.1601.5";;;;
"Advantage Data Architect v11.10";"PHXDSMAPP01.PHX.FNBM.CORP";"Sybase, Inc.";"20170411";"11.10.0015";;;;
"Browser for SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.50710";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack (ENU)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.50932";;;;
"Microsoft .NET Framework 4.5.1 SDK";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.51641";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.51209";;;;
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack (ENU)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"4.5.51209";;;;
"Microsoft Help Viewer 2.2";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"2.2.23107";;;;
"Microsoft ODBC Driver 13 for SQL Server";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;
"Microsoft Silverlight";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 Setup Support Files ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"10.3.5500.0";;;;
"Microsoft SQL Server 2012 Native Client ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"11.3.6518.0";;;;
"Microsoft SQL Server 2014 Management Objects ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.2000.8";;;;
"Microsoft SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 (64-bit)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;;;;;
"Microsoft SQL Server 2016 Policies ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.1601.5";;;;
"Microsoft SQL Server 2016 Setup (English)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;
"Microsoft SQL Server 2016 T-SQL Language Service ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.14500.10";;;;
"Microsoft SQL Server 2016 T-SQL ScriptDom ";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;
"Microsoft SQL Server Data-Tier Application Framework (x86)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.3560.4";;;;
"Microsoft SQL Server Management Studio - 16.5.3";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"13.0.16106.4";;;;
"Microsoft System CLR Types for SQL Server 2014";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.2402.11";;;;
"Microsoft System CLR Types for SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.0.1601.5";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23026.0";;;;
"Microsoft Visual Studio 2015 Shell (Isolated)";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft Visual Studio Tools for Applications 2015";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23829";;;;
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";;"14.0.23107.10";;;;
"Microsoft VSS Writer for SQL Server 2016";"PHXDSMAPP01.PHX.FNBM.CORP";"Microsoft Corporation";"20170411";"13.1.4001.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXDSMAPP01.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXDSMAPP01.PHX.FNBM.CORP";"Symantec Corporation";"20180222";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXDSMAPP01.PHX.FNBM.CORP";"VMware, Inc.";"20170411";"10.0.6.3560309";;;;
